1,789
1,153
1,35
2,550
1,1
1,1
2,370
1,1
28,1
1,9
1,1088
1,107
40,87
20,67
1,606
1,22
1,306
1,7
1,1
8,1209
1,963
1,6
1,1327
5,24
1,3
1,1
1,52
1,51
1,27
1,185
1,42
1,1386
1,1088
4,73
4,39
43,3
4,63
3,784
1,29
1,1265
1,1322
1,42
8,606
1,1388
10,1
4,8
1,14
1,9
1,11
1,543
64,10
1,730
1,111
8,243
1,661
957,61
1,40
1,39
1,368
1,1
59,70
1,15
1,100
1,9
1,1324
1,1147
1,17
57,10
1,4
1,55
1,1089
1,1388
1,10
1,430
1,1
1,92
4,7
1,79
1,1029
1,1
1,4
1,250
1,246
1,80
236,1
4,80
1,1
570,9
3,7
1,20
1,9
15,609
1,548
1,1
1,1024
1,6
98,1382
1,1384
1,1
36,2
1,302
1,965
1,45
1,1145
1,24
1,424
1,609
1,5
1,308
8,1
8,248
1,18
1,43
2,10
1,33
1,98
1,490
1,7
76,23
40,4
1,51
1,1
1,1023
1,81
1,9
1,4
8,1023
1,1
1,1329
1,1
1,1388
22,1142
1,481
11,245
1,51
1,27
1,1201
1,1148
1,1262
1,1
1,301
1,1385
1,47
1,42
1,1082
46,89
1,8
1,1264
1,6
1,1147
1,104
35,53
1,82
1,7
1,482
1,80
1,35
2,16
1,1
1,118
1,96
1,25
1,846
1,1148
1,1
1,22
4,2
1,1
1,30
1,37
1,1
1,1
1,25
2,95
1,961
1,5
2,1386
1,58
1,29
1,1
1,550
1,5
1,69
5,49
1,38
1,53
4,8
1,250
1,27
1,74
13,60
1,26
1,30
1,149
4,368
1,246
8,663
13,727
5,363
1,25
1,97
1,54
1,1
1,1269
1,1084
1,542
1,9
1,83
1,107
1,722
1,967
3,548
5,117
1,11
420,1
1,242
5,80
1,1146
5,365
3,1384
1,1322
1,724
4,57
1,482
1,190
1,23
1,33
1,41
1,83
1,250
10,1387
1,1083
1,58
4,361
1,1205
1,1086
1,30
2,1
1,18
1,3
1,14
1,1
4,42
506,5
1,26
1,42
1,1390
8,5
1,92
8,11
54,90
8,94
1,40
1,1389
1,1261
1,25
1,1386
10,1
1,72
1,29
1,14
5,72
1,22
4,1
13,119
1,248
1,1389
4,9
1,1
8,35
2,7
1,1
4,50
1,1
8,1387
1,57
1,38
1,1
1,102
1,55
1,428
1,488
1,58
25,133
4,968
52,728
1,246
1,725
4,304
1,61
1,23
1,115
1,789
1,34
4,248
8,244
8,115
1,107
4,1
4,54
1,670
1,24
1,241
1,110
1,1
8,842
1,1389
1,1263
1,26
1,246
3,27
27,1
1,1202
4,181
1,1202
10,121
1,21
5,56
1,1
4,167
1,26
1,1266
8,550
1,782
4,1262
1,58
1,1386
1,30
31,27
1,1084
8,1327
1,1328
1,426
1,182
1,13
1,549
53,1
1,1
1,670
4,35
1,181
1,34
526,1
1,305
8,306
8,153
69,1
1,249
1,59
1,112
1,605
1,1
1,188
1,426
1,1
97,1
24,138
1,1023
1,6
17,20
1,850
60,363
4,7
1,13
1,109
15,785
1,55
1,50
1,243
8,23
1,28
1,62
1,1
1,93
1,22
1,5
1,963
1,487
50,6
1,53
1,1
164,50
1,69
1,967
1,485
9,1
1,87
8,1268
1,134
1,604
60,248
1,1390
1,966
1,488
13,1383
1,964
1,59
4,1087
3,1
4,547
6,309
144,1203
1,368
1,1144
175,305
1,163
1,483
55,846
1,906
6,1
8,73
1,1383
1,1
8,1386
1,56
1,16
1,1027
3,57
1,49
1,143
3,1
1,31
8,51
1,115
1,1387
1,850
1,1329
1,1323
545,1323
1,730
1,8
1,609
1,55
4,902
1,1143
1,544
1,1
13,6
1,1
2,1
1,430
1,603
1,55
1,662
94,303
2,24
1,53
46,1
1,1
1,44
5,16
1,1
4,110
5,98
55,1
1,664
1,190
1,1269
1,1141
111,663
2,484
8,38
1,4
1,158
1,1030
547,56
1,106
1,1206
1,1268
1,53
59,27
1,9
113,67
4,52
1,1029
1,128
1,1325
1,54
1,1385
1,21
1,1389
1,1329
3,61
1,110
8,26
4,25
94,22
1,53
1,848
4,51
1,427
1,62
1,56
1,188
1,1
1,6
1,302
4,113
1,37
1,1081
1,94
1,37
8,15
1,1021
1,1085
1,1
1,1
4,1
1,39
1,14
3,53
10,1023
1,1387
1,1144
1,1329
1,1383
1,1027
1,44
1,1206
1,26
1,1
41,2
47,428
50,789
3,243
1,71
1,962
1,249
1,6
1,1390
1,1386
1,116
59,95
37,1
3,32
3,183
13,4
2,62
1,1143
1,165
1,1144
1,10
1,20
1,781
1,9
1,3
1,69
1,488
17,2
1,1084
1,1383
4,102
1,1
1,1086
1,9
52,1148
1,117
1,20
1,29
1,1
1,243
1,903
1,26
8,73
1,54
4,482
1,1
1,250
1,1
1,54
62,20
1,1388
70,183
1,23
1,52
1,186
1,10
1,243
1,35
1,142
1,1382
1,4
1,13
1,5
1,98
55,71
56,58
1,47
1,1381
1,8
1,605
1,57
49,33
5,62
4,10
1,722
1,179
1,1381
1,51
12,1
1,32
1,107
1,57
1,9
1,483
1,72
1,1388
1,26
8,11
1,4
1,5
4,243
1,661
56,29
23,97
44,1088
1,70
1,248
1,54
8,3
1,1
1,1029
1,1268
1,1388
1,1023
36,1026
3,104
1,116
1,963
5,47
1,487
1,1149
1,53
1,601
66,22
4,51
1,1382
3,9
1,789
5,57
6,1
1,30
8,7
1,25
1,74
1,604
1,181
1,1383
4,42
9,484
1,1385
1,1266
6,68
1,1382
1,7
8,245
1,54
1,93
278,60
1,92
1,1
1,40
1,90
52,1149
2,910
1,550
1,1388
1,303
4,51
1,242
5,1
1,361
1,1087
5,77
1,482
1,148
1,1024
1,3
1,1
4,16
1,33
1,16
1,246
1,1087
1,8
1,8
1,30
1,37
5,33
1,1388
1,19
1,841
1,53
1,24
1,35
3,1327
1,481
1,33
1,57
1,51
1,4
1,1
1,31
1,51
1,63
1,1
8,1083
1,244
1,11
1,1
1,21
8,1
115,1
1,244
1,39
1,301
1,23
57,148
1,1325
1,721
1,481
1,305
1,27
12,1
8,118
17,70
37,1082
1,1384
1,602
6,148
1,1385
1,59
8,13
1,1382
1,5
1,188
1,59
4,1383
1,39
1,1201
1,6
36,1
4,962
1,1088
1,26
4,1
1,54
1,664
4,23
1,248
50,548
1461,26
1,364
4,51
1,1263
1,36
4,1
4,25
5,1382
2,66
1,60
1,181
1,1
1,1389
5,92
1,1087
1,69
1,27
268,38
4,72
1,1207
1,28
